translated	origin_language
The heliosphle arises from the fact that the sun, at speeds of over 300 kilometers per second, sends a steady particle current and a magnetic field into space. This electricity is referred to as sun wind.	de
God is not a limited being who sits alone on a gold throne in the clouds. God is pure consciousness and is within everything. Understanding this truth, learn to accept and love everyone equally.	es
And tonight I think of everything she has seen in America all centuries. The grief and hope, fight and progress. The time we said that we couldn't do, and the people who held in the American faith: Yes, we can.	de
Without courageous actions, our children will not have time to debate the existence of climate change. They will be too busy managing its effects: more environmental disasters, more economic disturbances, and waves of climatic refugees seeking refuge.	fr
In March 1999, Marcy and Butler announced the discovery of the first real solar system, in which they found the proof of 3 planets that circle a single star. The star is called Upsilon Andromedae.	de
My colleagues and I lived in a small two -room cabin built on the edge of a cliff on the mountain. I say two bedrooms, but in addition to the entrance, there was a room with a tatami of six for two. We ate potatoes, dried fish and tofu. Since we were on the top of a cold mountain, the potatoes would be frozen during the winter.	ru
The empty intersections adjacent to a stone are its degrees of freedom (at least 1, in the maximum 4). A stone that does not have any degree of freedom cannot remain on the board.	es
Education will be intended for the full development of human personality and the strengthening of respect for human rights and fundamental freedoms;It will favor understanding, tolerance and friendship between all nations and all ethnic or religious groups, and will promote the development of United Nations activities for the maintenance of peace.	es
The government should not keep information confidential simply because civil servants could be embarrassed by their disclosure, because errors and faults could be revealed, or because of supposed or abstract fears.	fr
During the days, her tender love grew for the prince, and he loved her how he would love a little child, but he would never have thought of taking her to the woman.	de
One evening, however, when Miss Baker returned to college a few minutes before the time all the students had to have returned, she found a car in her parking space.	fr
"Alice was starting to be very tired of being sitting next to her sister on the bank and having nothing to do: once or twice, she had taken a look in the book that her sister was reading, but he contained no image or conversation, ""and what a book is for"", thought Alice, ""without images or conversations?»»"	fr
"Yahweh appeared to open and said: ""To your offspring I must give this land.""Then he built an altar to Yahweh that had appeared."	es
"Since usually there are many websites on any given topic, I usually click on the ""back"" button and enough when I arrive on any web page that has pop-up advertising. I simply go to the next page found by Google and I hope to find something less irritating."	ru
And tonight, I think of everything she saw throughout her century in America. Sorrow and hope, struggle and progress. The times we were told that we couldn't, and people who persisted with this credo: yes, we can.	fr
American researchers have developed an artificial intelligence system to automatically generate sentences in order to compose poems! The system trained using a collection of texts of approximately 12,000 electronic books (around 80 million phrases), mostly about fiction.	es
The show cannot be understood as a simple visual deception produced by mass media technologies. It is a vision of the world that has really materialized, a vision of a world that has become objective.	fr
Fear of serious damage cannot justify the suppression of freedom of expression and meeting. Men feared witches and burned women. It is the function of the word to free men from slavery to irrational fears.	es
"Laban said: ""This heap is a witness between the two of us today.""From there we stated his name Galed;And also Miçpa, because he says: ""The Lord will be present between the two of us, while we will be hidden to each other."	fr
"In the year I was born - that was in 1961 - less than 40 percent of students were women;Today they acquire almost 60 percent of university degrees and provide about half of the workers. At that time, “The Pill” was still illegal in some states;Today, thanks to the law that health care is affordable (""Affordable Care Act""), there is an free contraception. In the past, women of a husband needed to create a credit card;Today, more women decide to stay single - and all Americans can marry whoever they love."	de
The soldiers captured him and combined his eyes;Then they brought him behind their vehicle, and one of the soldiers aimed at his leg and shot. This scene was filmed and millions of people around the world saw them.	de
Once, Zhuangzi dreamed of being a butterfly, but when he woke up, he was not sure if he was Zhuangzi who had dreamed of being a butterfly or if he was a butterfly that was now dreaming of being Zhuangzi.	ru
I have never been the most likely candidate for this position. We did not start with a lot of money and support. Our campaign did not hatch in the corridors of Washington. She started in the suburbs of monks, Concorde residence rooms and Charleston's pre-cloths. It was built by workers who drew from the few savings they had to give the cause $ 5, $ 10 or 20.	fr
Human beings, primarily children, rarely refuse to enjoy power when they are aware of the possession of them, and only consists in the ability to make others miserable.	de
In winter, the windows were sometimes frozen. But then the boy and the girl always got copper pfennigs warm on the oven and held the warm pennies against the frozen panes. And there was soon a round of crooked hole through which they could see, and the gentle, bright, bright eyes of the little boy and the little girl then shone through the peep hole in each of the windows as they looked at each other.	de
After that day listening to the lonely scraping of a pen. During that period, from time to time, I felt the chirping of a grain of Java. It occurred to me that perhaps even Java's pets chirped in solitude. I went out on the veranda to see. However, flying back and forth between two posees alacrely and incessantly, did not show the slightest trace of resentment.	ru
"Nothing can surprise an American. It has often been repeated that the word ""impossible"" was not French;We obviously got the wrong dictionary. In America, everything is easy, everything is simple, and as for mechanical difficulties, they died before being born."	fr
And when the first Muslim -American was recently chosen for Congress, he made the oath to defend our Constitution using the same Qur'an as one of our founding parents - Thomas Jefferson - kept in his personal library.	es
She had positioned herself at the entrance to the subway and was listening against the tiled wall, the music that floated from a pub on the other side of the street when her friends had stepped into the field of vision.	de
Guernica is a famous painting by Pablo Picasso, which was created between May and June 1937 and whose title points to Guernica's bombing on April 26 of this year during the Spanish Civil War.	de
But this same principle must apply to Muslim perceptions of America. Just as Muslims do not correspond to a vulgar stereotype, America is not the vulgar stereotype of a selfish Empire.	fr
She drew her strength from the young people who rejected the myth of apathy of their generation, who left their homes and their families for jobs which offered meager wages and less sleep.	fr
A boy who had sold a cow on the market of Hereford was jostled by a Wegelagerer who asked for the money at a suitable place. The boy made it on the heel and ran away;However, since the Wegelagerer caught him in the Wegelager, he took the money out of his pocket and sprinkled it around, and while the Wegelager readers it opened it, the boy jumped on the horse and rode home.	de
In terms of size, the Venus of the twin of the earth is, but its atmosphere, which mainly consists of carbon dioxide, ensures that it is steadfastly hot on the planet. Venus is therefore not life -friendly.	de
Madame de Cleves, who was in this age when one does not believe that a woman could be loved when she spent twenty-five years, looked with extreme astonishment the attachment that the king had for this duchess, who was a grandmother, and who had just married her granddaughter.	fr
I can't really say that my mother cooks well. For the seasoning too, I prefer the way of cooking my wife. But despite that, I want her to teach me. May she teach me this taste for my childhood.	fr
The most important thing in the Olympic Games is not victory, but participation, as is the most important thing in life, not victory, but the pursuit of a goal. The most important thing is not to have conquered, but to have fought well.	de
The driver of an incoming car made the lights flash in the direction of Tom to warn that later there was a mobile speed camera. Tom, who was darting, slowed down immediately and exceeded the speed camera just below the speed limit.	ru
People thought that teleportation was impossible, but from the 24th century the teleportation of large objects and people also became common, as much as the microwave oven behind in the 21st century.	ru
Surrounded by vampire hordes, once Christopher Columbus had an epic sword duel with Count Dracula in his castle. After the Count cut Columbus's hand, he took her slowly, put it back in place, and proceeded to defeat the count.	es
Regardless of whether it is the Hitler salute or the hand on heart - I consider these expressions of patriotism to be symptoms of a disease, the cause and healing of which should be researched.	de
If a group of stones, even if it is completely surrounded by opposite stones, has two separate spaces inside, or two eyes, where the opponent cannot play, he will not be captured - he is considered a living group.	fr
At a time when, as a nation, we should move forward in our efforts to help the long -term unemployed to find new jobs, we should never have a step by suddenly cutting their unemployment insurance.	fr
It is much more likely that our fellow human beings are caused by our fellow human beings than by ours, and yet we call animals wild and dangerous and advanced and civilized to humans.	de
The cane serves the purpose of an advertising that is used in another way more than in a useful effort, and therefore has utility as evidence of leisure.	es
At home my mother usually speaks day alogue, but she sees in English, and when she has to read or write, she uses English. It is typical of its strongly Americanized generation of Filipinos. My and the following generations are more nationalist and increasingly less Americanized.	de
He came from the Irish with all the signs of an apostle, and when people asked him to explain the Holy Trinity, he bowed to the ground and took a clover.	ru
After eating a soup, Etienne, going up in the narrow room he was going to occupy under the roof, had fallen on his bed, dressed, knocked out with fatigue.	fr
During the Regency of Algiers, most of Kabylia was independent. Kabylia was divided into two main kingdoms, the kingdom of Koukou in current Tizi Ouzou, and the kingdom of Ait Abbas in current Béjaïa.	fr
A consortium of astronomers announced on Thursday that by observing the gravitational effect of a super massive black hole on a temporary star, one could have been confirmed for the first time a prediction of Albert Einstein's general theory of relativity.	de
"""You can't be angry with me, Anne. It's just my habit not to take a leaf in front of your mouth. You can't take that to heart.""- ""But I can't avoid taking it to my heart, and it doesn't help either. What is your habit. What do you like when someone is piggling around, people with needles and tears and said: 'Sorry!"	de
"""Good morning, Maria! Here your phone speaks. Should I heat the water for your morning tea?""- ""No, I want a coffee.""- ""No, I'm sorry, but that is out of the question. Coffee is not good for you. We only talked about it recently.""- ""You are my phone, not my mother. Now make my coffee to me, or I'm throwing the charger away!""- ""A coffee comes immediately!"""	de
"Maybe I am dyslexico or something, but when I speak English or Spanish, the pronouns confuse. For example, in Spanish I use a male article with a female noun, or in English I use ""he"" to refer to my sister, or ""she"" to refer to my dad. I do not do it on purpose, it only happens."	es
"""The economy starting from top to bottom, it never works,"" said Obama.“The country does not succeed when only those who are at the top are doing well. We succeed when the middle class widens, when it feels more safe.»»"	fr
My room colleague is twenty years old, and until a few weeks ago he didn't know what a clitoris was. He believes that his ignorance goes without saying because he is gay, but I don't buy that from him. I think that only shows how shitty the public education is here.	de
The most frustrating thing that can happen to you in Tatoeba is that you sign a mistake for someone and not only do not correct it, but believe the variant with the correction you suggested ... without grateful it.	es
Astronomers believe that the rings are made up of frozen water particles whose size varies between that of dust grains and that of rocks. These particles easily collide with each other in their orbit around Saturn.	fr
"Many activists for animal rights, who believe that non -domestic species belong to wild nature have condemned the property of so -called ""exotic"" pets. An growing number of cities and counties of the United States has forbidden the property of some wild animals, such as Puma and Lupi, for public safety reasons. And the connection between the smallpox of the monkeys and dogs of the prairie is leading some people to wonder if some wild animals must be kept as pets."	ru
Without a doubt there is in this world the right woman for every man to marry and vice versa;But if we consider that a human being has the opportunity to know only a few hundred people, and among the few hundred that there are only one dozen or not that knows intimately and between the dozen, one or two friends to the maximum, we will easily see, when we remember the number of millions that live this world, which probably, since the land was created, the right man has never met the right woman.	ru
The Algerians express their hatred of the Kabyles through the sovereignist anti-Kabyle zeal. Because it is easier to threaten peaceful activists, supported by person, than to oppose a military-mafia dictatorship supported by all the world powers.	fr
An idea is an intangible model of an element of reality is real or fictional. When we think something, that only thought is an idea. Ideas are the atoms of thoughts, and thoughts are combinations of ideas.	es
My biggest dream is to be a teacher. I don't want to be rich. I just want to offer a good life to the person I love. Is it too much to ask?	fr
"""Nobody allks you all the time, but a little more than one five in French should be in there!""-""Yes, if Marie-Emmanuelle had practiced with me!""- ""We all know that you can only rely on the Miss Chevallier to a limited extent. So do not always push them up as an excuse!"""	de
Heat a little oil in a pan and fry some ginger and garlic for a few seconds. Then add the tomato sauce, the soy sauce and the pimiento sauce. Add salt and pepper to taste.	ru
"The big question to which we never answered, and which I have not managed to answer despite thirty years of research on the female soul, is: ""What does a woman want?""»»"	fr
As Porto Rico is an American colony, the head of state of Puerto Rico is the president of the USA, but the inhabitants of Puerto Rico have the right to vote in the American presidential elections.	fr
Currently, standard users cannot delete sentences, only corpus managers can. We will add one of these days the possibility for users to delete their own sentences, but for the moment, if you want to have a sentence deleted, add a comment on the sentence requiring the deletion and explain why you would like to delete it.	fr
Do not judge that you will not be directed. Because with which meal you will judge, you will be directed;And with which measure you measure, you will be measured.	de
What intrigues me the most (and saddens me) is that in the Homo Sapiens species there are individuals who argue that the prodigious design of nature and life is not due to intelligence, but to totally accidental facts and an absolutely blind evolution law.	es
Do you think that a peasant that leads a more organic life than you in an abandoned country, while using cow's manure to make fire, is somewhat richer than you?	es
These uses such as war, politics, public worship and public fun, are warned, in popular apprehension, as differently intrinsically from the labor market that has to do with the elaboration of the material means of life.	ru
"""How many pumps do you know how to do, Tom?""""Before, I was able to make a hundred easily, but I wonder how much I can do it now. Maybe fifty?»»"	fr
At times he said to himself that leaving such a pretty woman to go out alone in Paris was as unlikely as to put a setting full of jewelry in the middle of the street.	fr
The examiner Committee wants me to have a contact to which to ask questions or to ask to ask for indications on the city and resources of the same;I therefore believe that she would be the most suitable person.	ru
And all those who look at tonight from beyond our coasts, from parliaments and palaces, to those who are curled up around the radio in the forgotten corners of the world, our stories are singular, but our destiny is shared and a new dawn of American leadership is upon us.hand.	ru
Bleu (Bilingual Evaluation Understudy) is a method of evaluation of the quality of translations carried out by automatic translation systems. A translation has the higher quality the more similar it is with respect to another reference, which is supposed to be correct.	es
"I told the other children that our train hit a person and that for this reason we had a delay.""Oh my God, no, you didn't do it, really? The teacher will call me ..."" ""Everyone wanted to know if the person was dead and I said he had gone to the hospital.""""First you told the children of the war in Ukraine, now this? Please don't talk about these things at school, honey. Some children will get angry."""	ru
"""You call me on Sundays at seven in the morning just to ask how I was? I thought it would have happened!""- ""I know that you are an early riser and I never get you in the afternoon or evening."""	de
